orderId,guid,name,eun,manufacturer,catalogueNumber,serialNumber,import,systemGuid
21912321,804577b6-bbf9-4c44-bf8a-01693b9ac5f5,"Mounted Zero-Aperture Iris, ?75.0 mm Max Aperture, TR75/M Post",21110059,Thorlabs GmbH,ID75Z/M,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912321,88856aae-9694-4d7a-8188-407225bea8ca,"Mounted Zero-Aperture Iris, ?75.0 mm Max Aperture, TR75/M Post",21110061,Thorlabs GmbH,ID75Z/M,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912321,88856aae-9694-4d7a-8188-407225bea8ca,"Mounted Zero-Aperture Iris, ?75.0 mm Max Aperture, TR75/M Post",21110064,Thorlabs GmbH,ID75Z/M,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912321,88856aae-9694-4d7a-8188-407225bea8ca,"Mounted Zero-Aperture Iris, ?75.0 mm Max Aperture, TR75/M Post",21110062,Thorlabs GmbH,ID75Z/M,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912321,804577b6-bbf9-4c44-bf8a-01693b9ac5f5,"Post-Mountable Standard Iris, ?25.0 mm Max Aperture, M4 Threaded Stud, Pack of 5",21110060,Thorlabs GmbH,IDA25/M-P5 ,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912321,804577b6-bbf9-4c44-bf8a-01693b9ac5f4,"Single Axis Translation Stage, 50 mm Travel, Metric",21110063,Thorlabs GmbH,LT1/M ,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912321,804577b6-bbf9-4c44-bf8a-01693b9ac5f5,"Single Axis Translation Stage, 50 mm Travel, Metric",21110068,Thorlabs GmbH,LT1/M ,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912321,804577b6-bbf9-4c44-bf8a-01693b9ac5f5,"Single Axis Translation Stage, 50 mm Travel, Metric",21110069,Thorlabs GmbH,LT1/M ,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912321,804577b6-bbf9-4c44-bf8a-01693b9ac5f5,"Single Axis Translation Stage, 50 mm Travel, Metric",21110067,Thorlabs GmbH,LT1/M ,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912322,b1568da5-f2b8-4c32-a631-0d18d4646998,"?100 �m, 0.22 NA, UHV, High-Temp. SMA Patch Cable, High OH, 1 m Long",21110052,Thorlabs GmbH,MV11L1 ,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912322,b1568da5-f2b8-4c32-a631-0d18d4646998,"?100 �m, 0.22 NA, UHV, High-Temp. SMA Patch Cable, High OH, 1 m Long",21110054,Thorlabs GmbH,MV12L1 ,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912322,b1568da5-f2b8-4c32-a631-0d18d4646998,"Fiber Feedthrough for ?2.75"" CF Flange, Low OH, ?600 �m Core, 400 - 2400 nm, 0.22 NA, SMA",21110055,Thorlabs GMBH,VC2L6S,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912322,3a6ddbbd-9510-44e8-8591-a09cb1d81111,VK4L1S ,21110053,Thorlabs GMBH,VK4L1S ,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912326,7519ace9-329d-42a1-937d-d3d2723f3cfe,"?2"" LP Dichroic Mirror, 490 nm Cut-On",21110235,Thorlabs GmbH,DMLP490L,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912327,1f46b2dc-d657-418a-979b-b78b5a9b87db,"Right-Handed ?1"" Mirror Mount, 2 Vertical-Drive Hex Adjusters, Monolithic Opt",21110058,Thorlabs GmbH,POLARIS-K1VS2 ,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912327,1f46b2dc-d657-418a-979b-b78b5a9b87db,"Right-Handed ?1"" Mirror Mount, 2 Vertical-Drive Hex Adjusters, Monolithic Opt",21110057,Thorlabs GmbH,POLARIS-K1VS2 ,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912330,5b0e0993-c441-4124-9e94-108adc06e631,"Polaris Kinematic Platform Mount, 2 Adjusters, M4 Mounting Holes",21110082,Thorlabs GmbH,POLARIS-K1M4/M ,,y,569d181a-7b9a-4bf5-b4b4-48d099ca781a
21912330,5b0e0993-c441-4124-9e94-108adc06e631,"Polaris Kinematic Platform Mount, 2 Adjusters, M4 Mounting Holes",21110083,Thorlabs GmbH,POLARIS-K1M4/M ,,y,569d181a-7b9a-4bf5-b4b4-48d099ca781a
21912330,5b0e0993-c441-4124-9e94-108adc06e631,"Polaris Kinematic Platform Mount, 2 Adjusters, M4 Mounting Holes",21110080,Thorlabs GmbH,POLARIS-K1M4/M ,,y,569d181a-7b9a-4bf5-b4b4-48d099ca781a
21912330,5b0e0993-c441-4124-9e94-108adc06e631,"Polaris Kinematic Platform Mount, 2 Adjusters, M4 Mounting Holes",21110079,Thorlabs GmbH,POLARIS-K1M4/M ,,y,569d181a-7b9a-4bf5-b4b4-48d099ca781a
21912330,5b0e0993-c441-4124-9e94-108adc06e631,"Polaris Kinematic Platform Mount, 2 Adjusters, M4 Mounting Holes",21110078,Thorlabs GmbH,POLARIS-K1M4/M ,,y,569d181a-7b9a-4bf5-b4b4-48d099ca781a
21912330,5b0e0993-c441-4124-9e94-108adc06e631,"Polaris Kinematic Platform Mount, 2 Adjusters, M4 Mounting Holes",21110084,Thorlabs GmbH,POLARIS-K1M4/M ,,y,569d181a-7b9a-4bf5-b4b4-48d099ca781a
21912330,5b0e0993-c441-4124-9e94-108adc06e631,"Polaris Kinematic Platform Mount, 2 Adjusters, M4 Mounting Holes",21110081,Thorlabs GmbH,POLARIS-K1M4/M ,,y,569d181a-7b9a-4bf5-b4b4-48d099ca781a
21912330,5b0e0993-c441-4124-9e94-108adc06e631,"Polaris Kinematic Platform Mount, 2 Adjusters, M4 Mounting Holes",21110077,Thorlabs GmbH,POLARIS-K1M4/M ,,y,569d181a-7b9a-4bf5-b4b4-48d099ca781a
