eun,isEunInPanda,pandaOrderGUID,isOrderInPanda,pbsFis,pbsVerso,pbsTenderReference,pbsSupplier,pbsNumber,cataloguePartNumber,serialNumber,itemPriceCzk,itemPriceEUR,cartName,description,notes,destination,deliveredDate,TargetsystemGUID,ItemUsage,ItemCondition,ImportInstr,PandaPartNumber
15090066,FALSE,0d4d1f8d-e666-43e5-82c7-77125222109b,TRUE,,1202559,,Altechna,RA1.L2.L2_1.FE.L2_1.BB.OPA.O,1-OS-2-0254-5-[1F00-IBS],1-OS-2-0254-5-[1F00-IBS],0,0,"Mirror 515 - 532 nm, IBS coated, UVFS D25.4 x 5, R 99.95 AOI 0","
Diameter tolerance	+0/-0.1 mm
Thickness tolerance	±0.1 mm
Clear aperture	>90 %
Surface quality	20-10 S-D
Surface flatness	<?/8 @ 632.8 nm
Protective chamfers	<0,25 mm x 45°
Coating adhesion and durability	Per MIL-C-675A",,Destination - L2 OPA preamplifier,09/08/2015,44d7ca9c-d270-47bd-a237-66a58c7c9230,,,UL,1-OS-2-0254-5-[1F00-IBS]
15090067,FALSE,0d4d1f8d-e666-43e5-82c7-77125222109b,TRUE,,1202559,,Altechna,RA1.L2.L2_1.FE.L2_1.BB.OPA.O,1-OS-2-0254-5-[1F00-IBS],1-OS-2-0254-5-[1F00-IBS],0,0,"Mirror 515 - 532 nm, IBS coated, UVFS D25.4 x 5, R 99.95 AOI 0","
Diameter tolerance	+0/-0.1 mm
Thickness tolerance	±0.1 mm
Clear aperture	>90 %
Surface quality	20-10 S-D
Surface flatness	<?/8 @ 632.8 nm
Protective chamfers	<0,25 mm x 45°
Coating adhesion and durability	Per MIL-C-675A",,L2 OPA on table,09/08/2015,44d7ca9c-d270-47bd-a237-66a58c7c9230,,,UL,1-OS-2-0254-5-[1F00-IBS]
15090068,FALSE,0d4d1f8d-e666-43e5-82c7-77125222109b,TRUE,,1202559,,Altechna,RA1.L2.L2_1.FE.L2_1.BB.OPA.O,1-OS-2-0254-5-[1F00-IBS],1-OS-2-0254-5-[1F00-IBS],0,0,"Mirror 515 - 532 nm, IBS coated, UVFS D25.4 x 5, R 99.95 AOI 0","
Diameter tolerance	+0/-0.1 mm
Thickness tolerance	±0.1 mm
Clear aperture	>90 %
Surface quality	20-10 S-D
Surface flatness	<?/8 @ 632.8 nm
Protective chamfers	<0,25 mm x 45°
Coating adhesion and durability	Per MIL-C-675A",,"L2 OPA preamp, on table",09/08/2015,44d7ca9c-d270-47bd-a237-66a58c7c9230,,,UL,1-OS-2-0254-5-[1F00-IBS]
15090069,FALSE,0d4d1f8d-e666-43e5-82c7-77125222109b,TRUE,,1202559,,Altechna,RA1.L2.L2_1.FE.L2_1.BB.OPA.O,1-OS-2-0254-5-[1F45-IBS],1-OS-2-0254-5-[1F45-IBS],0,0,"Mirror 515 - 532 nm, IBS coated, UVFS D25.4 x 5, R 99.95 AOI 45",,,"L2 OPA preamp, on table",09/08/2015,44d7ca9c-d270-47bd-a237-66a58c7c9230,,,UL,1-OS-2-0254-5-[1F45-IBS]
15090070,FALSE,0d4d1f8d-e666-43e5-82c7-77125222109b,TRUE,,1202559,,Altechna,RA1.L2.L2_1.FE.L2_1.BB.OPA.O,1-OS-2-0254-5-[1F45-IBS],1-OS-2-0254-5-[1F45-IBS],0,0,"Mirror 515 - 532 nm, IBS coated, UVFS D25.4 x 5, R 99.95 AOI 45",,,ELI 110,09/08/2015,44d7ca9c-d270-47bd-a237-66a58c7c9230,,,UL,1-OS-2-0254-5-[1F45-IBS]
15090071,FALSE,0d4d1f8d-e666-43e5-82c7-77125222109b,TRUE,,1202559,,Altechna,RA1.L2.L2_1.FE.L2_1.BB.OPA.O,1-OS-2-0254-5-[1F45-IBS],1-OS-2-0254-5-[1F45-IBS],0,0,"Mirror 515 - 532 nm, IBS coated, UVFS D25.4 x 5, R 99.95 AOI 45",,,ELI 110,09/08/2015,44d7ca9c-d270-47bd-a237-66a58c7c9230,,,UL,1-OS-2-0254-5-[1F45-IBS]
15090072,FALSE,0d4d1f8d-e666-43e5-82c7-77125222109b,TRUE,,1202559,,Altechna,RA1.L2.L2_1.FE.L2_1.BB.OPA.O,1-OS-2-0254-5-[1F45-IBS],1-OS-2-0254-5-[1F45-IBS],0,0,"Mirror 515 - 532 nm, IBS coated, UVFS D25.4 x 5, R 99.95 AOI 45",,,ELI 110,09/08/2015,44d7ca9c-d270-47bd-a237-66a58c7c9230,,,UL,1-OS-2-0254-5-[1F45-IBS]
15090073,FALSE,0d4d1f8d-e666-43e5-82c7-77125222109b,TRUE,,1202559,,Altechna,RA1.L2.L2_1.FE.L2_1.BB.OPA.O,1-OS-2-0254-5-[1F45-IBS],1-OS-2-0254-5-[1F45-IBS],0,0,"Mirror 515 - 532 nm, IBS coated, UVFS D25.4 x 5, R 99.95 AOI 45",,,ELI 110,09/08/2015,44d7ca9c-d270-47bd-a237-66a58c7c9230,,,UL,1-OS-2-0254-5-[1F45-IBS]
15090074,FALSE,0d4d1f8d-e666-43e5-82c7-77125222109b,TRUE,,1202559,,Altechna,RA1.L2.L2_1.FE.L2_1.BB.OPA.O,1-OS-2-0254-5-[1F45-IBS],1-OS-2-0254-5-[1F45-IBS],0,0,"Mirror 515 - 532 nm, IBS coated, UVFS D25.4 x 5, R 99.95 AOI 45",,,,09/08/2015,44d7ca9c-d270-47bd-a237-66a58c7c9230,,,UL,1-OS-2-0254-5-[1F45-IBS]
15090075,FALSE,0d4d1f8d-e666-43e5-82c7-77125222109b,TRUE,,1202559,,Altechna,RA1.L2.L2_1.FE.L2_1.BB.OPA.O,1-OS-2-0254-5-[1F45-IBS],1-OS-2-0254-5-[1F45-IBS],0,0,"Mirror 515 - 532 nm, IBS coated, UVFS D25.4 x 5, R 99.95 AOI 45",,,,09/08/2015,44d7ca9c-d270-47bd-a237-66a58c7c9230,,,UL,1-OS-2-0254-5-[1F45-IBS]
15090076,FALSE,0d4d1f8d-e666-43e5-82c7-77125222109b,TRUE,,1202559,,Altechna,RA1.L2.L2_1.FE.L2_1.BB.OPA.O,1-OS-2-0254-5-[1F45-IBS],1-OS-2-0254-5-[1F45-IBS],0,0,"Mirror 515 - 532 nm, IBS coated, UVFS D25.4 x 5, R 99.95 AOI 45",,,,09/08/2015,44d7ca9c-d270-47bd-a237-66a58c7c9230,,,UL,1-OS-2-0254-5-[1F45-IBS]
